segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
12,I-40,I-40,403.9,134.6,7.44,17.6,27.2,0.0342,10.4,3.014,137.556,0.569,carbonate,93385,29.3,27361,,,2,0,2,0,0.09662304876346622,0.2864,Moderate
13,I-40,I-40,402.1,105.9,7.37,15.99,26.34,-0.0028,10.5,3.127,140.802,0.55,carbonate,98877,27.8,27487,,,2,0,2,0,0.13185597756798945,0.2992,Moderate
14,I-40,I-40,419.9,173.7,6.2,15.77,21.83,-0.0036,10.8,2.942,141.528,0.575,carbonate,82152,28.0,23002,,,2,0,2,0,0.05174370861870862,0.2472,Low
15,I-40,I-40,459.5,130.1,6.32,14.71,22.14,-0.0062,10.5,2.63,138.036,0.555,carbonate,83614,26.5,22157,,,2,0,2,0,0.029713871426168045,0.2319,Low
16,I-40,I-40,500.5,141.4,7.73,14.71,26.23,0.0043,10.5,2.494,135.523,0.483,clastic_sedimentary,92636,28.0,25938,,,3,1,2,0,0.16177695149247703,0.3357,Moderate
17,I-40,I-40,528.3,89.7,5.54,12.74,19.63,-0.0005,10.7,2.512,135.107,0.483,clastic_sedimentary,89140,27.6,24602,,,3,1,2,0,0.005739538239538239,0.2482,Low
18,I-40,I-40,547.2,90.1,2.87,11.27,10.97,0.0014,11.1,2.812,134.381,0.586,clastic_sedimentary,99438,28.5,28339,,,3,1,2,0,0.006666666666666667,0.2342,Low
19,I-40,I-40,549.3,121.5,4.78,19.13,18.46,0.0336,11.0,3.183,137.775,0.583,clastic_sedimentary,89953,26.8,24107,,,3,1,2,0,0.1261730488685319,0.289,Moderate
20,I-40,I-40,488.0,219.5,10.51,20.84,37.59,-0.0276,10.4,3.57,143.017,0.438,clastic_sedimentary,86040,28.8,24779,,,3,1,2,1,0.9595881566007569,0.6601,High
21,I-40,I-40,475.0,211.2,12.1,20.84,41.94,0.0053,10.5,3.862,145.518,0.409,clastic_sedimentary,108373,30.3,32837,,,3,1,2,1,0.9465355611512148,0.7026,High
22,I-40,I-40,456.3,244.2,10.4,15.5,37.48,0.017,10.7,4.391,146.121,0.418,clastic_sedimentary,95247,27.8,26478,,,3,1,2,1,0.8422407397958197,0.6399,High
23,I-40,I-40,410.5,194.3,10.67,18.05,38.14,-0.0174,10.7,4.663,144.715,0.461,clastic_sedimentary,97524,28.6,27891,,,3,1,2,1,0.8935702668270119,0.6555,High
24,I-40,I-40,409.4,244.6,12.03,22.11,42.91,-0.015,10.5,4.288,136.401,0.456,clastic_sedimentary,85943,29.0,24923,,,3,1,2,1,0.995598219158757,0.6959,High
25,I-40,I-40,428.6,254.7,13.98,22.11,48.83,0.0142,10.8,3.996,133.562,0.421,clastic_sedimentary,84167,27.4,23061,,,3,1,2,1,0.9949513200903027,0.7103,High
26,I-40,I-40,487.8,252.0,12.34,23.14,45.0,0.0456,10.4,3.594,136.298,0.459,clastic_sedimentary,88780,28.3,25124,,,3,1,2,1,0.9625191053122087,0.6867,High
27,I-40,I-40,535.0,173.0,9.26,23.14,35.22,0.0149,10.5,3.396,136.88,0.482,clastic_sedimentary,79897,28.0,22371,,,3,1,2,1,0.9126650498576159,0.6137,High
28,I-40,I-40,554.1,127.0,5.15,21.24,19.22,-0.0021,10.7,3.199,138.618,0.479,clastic_sedimentary,90644,28.1,25470,,,3,1,2,1,0.6827926846103143,0.4968,Moderate
29,I-40,I-40,575.2,48.8,1.81,5.31,7.97,0.0049,13.9,3.155,141.59,0.507,clastic_sedimentary,83771,26.8,22450,,,3,1,2,0,0.0,0.2013,Low
30,I-40,I-40,591.0,50.9,2.93,8.17,10.76,-0.009,10.8,3.206,144.035,0.554,clastic_sedimentary,85946,28.0,24064,,,3,1,2,0,0.0,0.2129,Low
31,I-40,I-40,600.6,52.2,3.49,8.17,12.65,0.005,10.8,3.31,146.612,0.534,clastic_sedimentary,83763,28.7,24039,,,3,1,1,0,0.0,0.2186,Low
32,I-40,I-40,588.2,66.9,4.49,7.96,15.28,0.0069,10.8,3.532,147.338,0.48,clastic_sedimentary,101040,30.2,30514,,,3,1,2,0,0.006666666666666667,0.261,Moderate
33,I-40,I-40,575.0,72.8,4.43,7.8,15.36,0.0011,10.4,3.676,147.729,0.503,clastic_sedimentary,87904,29.4,25843,,,3,1,2,0,0.0,0.2412,Low
34,I-40,I-40,576.7,65.8,3.77,7.86,13.62,-0.0069,10.5,3.127,147.405,0.532,clastic_sedimentary,80553,31.2,25132,,,3,1,2,0,0.0033333333333333335,0.2226,Low
35,I-40,I-40,588.1,53.5,2.71,7.86,10.33,0.0096,10.5,2.79,144.869,0.542,clastic_sedimentary,93790,26.8,25135,,,3,1,2,0,0.0,0.2171,Low
